state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,year,month,season,state_code,district_code,market_code,commodity_code,variety_code,grade_code,price_difference
gujarat,amreli,damnagar,coriander(leaves),coriander,faq,2025-05-19,2200,3050,2850,2025,5,zaid,1,1,1,1,1,1,850
gujarat,amreli,savarkundla,bengal gram(gram)(whole),average (whole),non-faq,2025-05-19,5305,5525,5390,2025,5,zaid,1,1,2,2,2,2,220
gujarat,amreli,savarkundla,castor seed,castor seed,faq,2025-05-19,5500,5970,5750,2025,5,zaid,1,1,2,3,3,1,470
gujarat,anand,khambhat(grain market),paddy(dhan)(common),other,faq,2025-05-19,1700,2050,1900,2025,5,zaid,1,2,3,4,4,1,350
gujarat,anand,khambhat(grain market),paddy(dhan)(common),paddy,faq,2025-05-19,2500,3150,2900,2025,5,zaid,1,2,3,4,5,1,650
gujarat,banaskanth,vadgam,mustard,other,faq,2025-05-19,5555,5555,5555,2025,5,zaid,1,3,4,5,4,1,0
gujarat,bharuch,jambusar(kaavi),bajra(pearl millet/cumbu),other,faq,2025-05-19,2400,2800,2600,2025,5,zaid,1,4,5,6,4,1,400
gujarat,gandhinagar,mansa(manas veg yard),bottle gourd,other,faq,2025-05-19,500,500,500,2025,5,zaid,1,5,6,7,4,1,0
gujarat,gandhinagar,mansa(manas veg yard),cucumbar(kheera),other,faq,2025-05-19,1000,2000,1500,2025,5,zaid,1,5,6,8,4,1,1000
gujarat,gandhinagar,mansa(manas veg yard),tomato,other,faq,2025-05-19,2000,2000,2000,2025,5,zaid,1,5,6,9,4,1,0
gujarat,junagarh,mangrol,bengal gram(gram)(whole),desi (f.a.q. split),faq,2025-05-19,5350,5450,5425,2025,5,zaid,1,6,7,2,6,1,100
gujarat,navsari,bilimora,tomato,other,faq,2025-05-19,1000,2000,1500,2025,5,zaid,1,7,8,9,4,1,1000
gujarat,rajkot,dhoraji,arhar (tur/red gram)(whole),local,non-faq,2025-05-19,6055,6955,6805,2025,5,zaid,1,8,9,10,7,2,900
gujarat,rajkot,rajkot(veg.sub yard),bhindi(ladies finger),bhindi,faq,2025-05-19,700,1800,1250,2025,5,zaid,1,8,10,11,8,1,1100
gujarat,rajkot,rajkot(veg.sub yard),onion,onion,faq,2025-05-19,150,1075,700,2025,5,zaid,1,8,10,12,9,1,925
gujarat,rajkot,rajkot(veg.sub yard),tomato,tomato,faq,2025-05-19,1000,2000,1500,2025,5,zaid,1,8,10,9,10,1,1000
gujarat,sabarkantha,modasa(tintoi),maize,hybrid red (cattle feed),non-faq,2025-05-19,1700,2100,2100,2025,5,zaid,1,9,11,13,11,2,400
gujarat,surat,mahuva(anaval),mango,totapuri,medium,2025-05-19,1750,2250,2000,2025,5,zaid,1,10,12,14,12,3,500
gujarat,surat,mahuva(anaval),pointed gourd (parval),other,faq,2025-05-19,2800,3000,2900,2025,5,zaid,1,10,12,15,4,1,200
gujarat,surat,surat,cauliflower,other,faq,2025-05-19,2500,6000,4250,2025,5,zaid,1,10,13,16,4,1,3500
gujarat,surat,surat,onion,other,faq,2025-05-19,600,2100,1350,2025,5,zaid,1,10,13,12,4,1,1500
gujarat,surat,surat,ridgeguard(tori),other,faq,2025-05-19,3000,5500,4250,2025,5,zaid,1,10,13,17,4,1,2500
gujarat,surendranagar,dhragradhra,cummin seed(jeera),cummin seed(jeera),faq,2025-05-19,17900,20275,20000,2025,5,zaid,1,11,14,18,13,1,2375
gujarat,surendranagar,dhragradhra,green gram (moong)(whole),green (whole),faq,2025-05-19,8000,8000,8000,2025,5,zaid,1,11,14,19,14,1,0
gujarat,surendranagar,dhragradhra,"sesamum(sesame,gingelly,til)",white,faq,2025-05-19,7400,8950,8250,2025,5,zaid,1,11,14,20,15,1,1550
gujarat,surendranagar,dhragradhra,suva (dill seed),suva (dill seed),faq,2025-05-19,5000,6840,6500,2025,5,zaid,1,11,14,21,16,1,1840
gujarat,surendranagar,vadhvan,bhindi(ladies finger),bhindi,faq,2025-05-19,3000,3500,3250,2025,5,zaid,1,11,15,11,8,1,500
gujarat,surendranagar,vadhvan,carrot,carrot,faq,2025-05-19,2000,2500,2250,2025,5,zaid,1,11,15,22,17,1,500
gujarat,surendranagar,vadhvan,drumstick,drumstick,faq,2025-05-19,1500,2000,1750,2025,5,zaid,1,11,15,23,18,1,500
gujarat,surendranagar,vadhvan,elephant yam (suran),elephant yam (suran),faq,2025-05-19,4500,5000,4750,2025,5,zaid,1,11,15,24,19,1,500
gujarat,surendranagar,vadhvan,lemon,lemon,faq,2025-05-19,7500,8500,8000,2025,5,zaid,1,11,15,25,20,1,1000
gujarat,surendranagar,vadhvan,tinda,tinda,faq,2025-05-19,4000,4500,4250,2025,5,zaid,1,11,15,26,21,1,500
gujarat,vadodara(baroda),padra,bottle gourd,other,faq,2025-05-19,500,1000,750,2025,5,zaid,1,12,16,7,4,1,500
gujarat,vadodara(baroda),padra,coriander(leaves),other,faq,2025-05-19,2000,3000,2500,2025,5,zaid,1,12,16,1,4,1,1000
gujarat,vadodara(baroda),padra,ginger(green),other,faq,2025-05-19,2500,3000,2750,2025,5,zaid,1,12,16,27,4,1,500
gujarat,vadodara(baroda),padra,little gourd (kundru),other,faq,2025-05-19,1250,2750,2000,2025,5,zaid,1,12,16,28,4,1,1500
gujarat,vadodara(baroda),padra,pointed gourd (parval),other,faq,2025-05-19,4000,4500,4250,2025,5,zaid,1,12,16,15,4,1,500
haryana,fatehabad,fatehabad,mousambi(sweet lime),other,large,2025-05-19,3500,3500,3500,2025,5,zaid,2,13,17,29,4,4,0
haryana,gurgaon,gurgaon,tomato,other,non-faq,2025-05-19,800,1000,900,2025,5,zaid,2,14,18,9,4,2,200
haryana,hissar,hansi,brinjal,other,faq,2025-05-19,1000,2000,1500,2025,5,zaid,2,15,19,30,4,1,1000
haryana,hissar,hansi,cauliflower,other,faq,2025-05-19,800,1200,1000,2025,5,zaid,2,15,19,16,4,1,400
haryana,hissar,hansi,potato,other,non-faq,2025-05-19,1000,3500,1000,2025,5,zaid,2,15,19,31,4,2,2500
haryana,kaithal,dhand,onion,other,faq,2025-05-19,1000,1400,1300,2025,5,zaid,2,16,20,12,4,1,400
haryana,kaithal,dhand,potato,other,faq,2025-05-19,900,1200,1100,2025,5,zaid,2,16,20,31,4,1,300
haryana,mahendragarh-narnaul,narnaul,chikoos(sapota),sapota,medium,2025-05-19,2000,2000,2000,2025,5,zaid,2,17,21,32,22,3,0
haryana,mahendragarh-narnaul,narnaul,cluster beans,cluster beans,faq,2025-05-19,3000,3000,3000,2025,5,zaid,2,17,21,33,23,1,0
haryana,mahendragarh-narnaul,narnaul,coriander(leaves),coriander,faq,2025-05-19,2000,2000,2000,2025,5,zaid,2,17,21,1,1,1,0
haryana,mahendragarh-narnaul,narnaul,ginger(green),green ginger,faq,2025-05-19,3500,4000,4000,2025,5,zaid,2,17,21,27,24,1,500
haryana,mahendragarh-narnaul,narnaul,spinach,spinach,faq,2025-05-19,1000,1000,1000,2025,5,zaid,2,17,21,34,25,1,0
haryana,mewat,ferozpurzirkha(nagina),bottle gourd,other,faq,2025-05-19,800,1000,900,2025,5,zaid,2,18,22,7,4,1,200
haryana,mewat,ferozpurzirkha(nagina),tomato,other,faq,2025-05-19,400,600,500,2025,5,zaid,2,18,22,9,4,1,200
haryana,mewat,punhana,onion,other,faq,2025-05-19,1000,1200,1100,2025,5,zaid,2,18,23,12,4,1,200
haryana,mewat,punhana,potato,other,faq,2025-05-19,1200,1400,1300,2025,5,zaid,2,18,23,31,4,1,200
haryana,mewat,tauru,lemon,other,faq,2025-05-19,8000,8000,8000,2025,5,zaid,2,18,24,25,4,1,0
haryana,panipat,panipat,bottle gourd,bottle gourd,faq,2025-05-19,500,700,600,2025,5,zaid,2,19,25,7,26,1,200
haryana,panipat,panipat,brinjal,arkasheela mattigulla,faq,2025-05-19,700,1300,1000,2025,5,zaid,2,19,25,30,27,1,600
haryana,panipat,panipat,mango,other,medium,2025-05-19,2000,8000,5000,2025,5,zaid,2,19,25,14,4,3,6000
haryana,panipat,panipat,onion,other,faq,2025-05-19,500,1300,900,2025,5,zaid,2,19,25,12,4,1,800
haryana,panipat,panipat,pomegranate,pomogranate,medium,2025-05-19,5000,7000,6000,2025,5,zaid,2,19,25,35,28,3,2000
haryana,panipat,panipat,potato,other,faq,2025-05-19,600,1200,900,2025,5,zaid,2,19,25,31,4,1,600
haryana,panipat,panipat,tomato,other,faq,2025-05-19,500,1000,750,2025,5,zaid,2,19,25,9,4,1,500
haryana,panipat,samalkha,bottle gourd,bottle gourd,faq,2025-05-19,700,700,700,2025,5,zaid,2,19,26,7,26,1,0
